Energy,DOS
5.91936,0.23679
5.93229,0.23745
5.94521,0.23811
5.95814,0.23877
5.97106,0.23943
5.98398,0.2401
5.99691,0.24077
6.00983,0.24144
6.02276,0.24212
6.03568,0.24281
6.04861,0.2435
6.06153,0.2442
6.07446,0.2449
6.08738,0.24561
6.1003,0.24633
6.11323,0.24705
6.12615,0.24777
6.13908,0.2485
6.152,0.24923
6.16493,0.24997
6.17785,0.2507
6.19077,0.25144
6.2037,0.25218
6.21662,0.25292
6.22955,0.25367
6.24247,0.25441
6.2554,0.25516
6.26832,0.25591
6.28124,0.25666
6.29417,0.25742
6.30709,0.25818
6.32002,0.25895
6.33294,0.25973
6.34587,0.26051
6.35879,0.26131
6.37172,0.26211
6.38464,0.26293
6.39756,0.26376
6.41049,0.2646
6.42341,0.26546
6.43634,0.26632
6.44926,0.2672
6.46219,0.2681
6.47511,0.269
6.48803,0.26992
6.50096,0.27084
6.51388,0.27177
6.52681,0.27271
6.53973,0.27366
6.55266,0.2746
6.56558,0.27555
6.57851,0.2765
6.59143,0.27745
6.60435,0.27839
6.61728,0.27932
6.6302,0.28025
6.64313,0.28117
6.65605,0.28207
6.66898,0.28296
6.6819,0.28384
6.69482,0.2847
6.70775,0.28555
6.72067,0.28638
6.7336,0.28719
6.74652,0.28799
6.75945,0.28877
6.77237,0.28954
6.7853,0.29028
6.79822,0.29101
6.81114,0.29173
6.82407,0.29243
6.83699,0.29312
6.84992,0.2938
6.86284,0.29447
6.87577,0.29513
6.88869,0.29577
6.90161,0.29641
6.91454,0.29705
6.92746,0.29768
6.94039,0.2983
6.95331,0.29892
6.96624,0.29954
6.97916,0.30015
6.99209,0.30076
7.00501,0.30137
7.01793,0.30197
7.03086,0.30257
7.04378,0.30317
7.05671,0.30377
7.06963,0.30437
7.08256,0.30496
7.09548,0.30555
7.1084,0.30614
7.12133,0.30672
7.13425,0.3073
7.14718,0.30787
7.1601,0.30844
7.17303,0.309
7.18595,0.30955
7.19888,0.3101
7.2118,0.31064
7.22472,0.31118
7.23765,0.3117
7.25057,0.31222
7.2635,0.31274
7.27642,0.31324
7.28935,0.31374
7.30227,0.31423
7.31519,0.31472
7.32812,0.3152
7.34104,0.31567
7.35397,0.31614
7.36689,0.3166
7.37982,0.31706
7.39274,0.31752
7.40567,0.31796
7.41859,0.31841
7.43151,0.31885
7.44444,0.31929
7.45736,0.31972
7.47029,0.32015
7.48321,0.32058
7.49614,0.32101
7.50906,0.32143
7.52198,0.32185
7.53491,0.32226
7.54783,0.32268
7.56076,0.32309
7.57368,0.32349
7.58661,0.3239
7.59953,0.3243
7.61246,0.3247
7.62538,0.32509
7.6383,0.32548
7.65123,0.32588
7.66415,0.32627
7.67708,0.32666
7.69,0.32705
7.70293,0.32744
7.71585,0.32783
7.72877,0.32823
7.7417,0.32864
7.75462,0.32904
7.76755,0.32946
7.78047,0.32989
7.7934,0.33033
7.80632,0.33078
7.81925,0.33125
7.83217,0.33173
7.84509,0.33223
7.85802,0.33276
7.87094,0.3333
7.88387,0.33387
7.89679,0.33447
7.90972,0.3351
7.92264,0.33575
7.93556,0.33644
7.94849,0.33716
7.96141,0.33791
7.97434,0.3387
7.98726,0.33953
8.00019,0.34038
8.01311,0.34128
8.02604,0.34221
8.03896,0.34318
8.05188,0.34418
8.06481,0.34522
8.07773,0.34629
8.09066,0.3474
8.10358,0.34853
8.11651,0.3497
8.12943,0.35089
8.14235,0.35211
8.15528,0.35336
8.1682,0.35463
8.18113,0.35591
8.19405,0.35722
8.20698,0.35854
8.2199,0.35987
8.23283,0.36121
8.24575,0.36256
8.25867,0.36391
8.2716,0.36526
8.28452,0.36661
8.29745,0.36796
8.31037,0.3693
8.3233,0.37064
8.33622,0.37196
8.34914,0.37327
8.36207,0.37456
8.37499,0.37584
8.38792,0.37709
8.40084,0.37833
8.41377,0.37954
8.42669,0.38073
8.43962,0.38189
8.45254,0.38303
8.46546,0.38414
8.47839,0.38523
8.49131,0.38628
8.50424,0.38731
8.51716,0.38831
8.53009,0.38929
8.54301,0.39024
8.55593,0.39116
8.56886,0.39205
8.58178,0.39292
8.59471,0.39377
8.60763,0.39459
8.62056,0.39539
8.63348,0.39617
8.64641,0.39694
8.65933,0.39768
8.67225,0.39841
8.68518,0.39913
8.6981,0.39983
8.71103,0.40053
8.72395,0.40121
8.73688,0.40189
8.7498,0.40257
8.76272,0.40324
8.77565,0.40391
