Energy (meV),Original DOS (normalized),Broadened DOS (normalized)
18.7,0.013038865434015359,0.0015168887135930996
18.8,0.0,0.0014542801847443544
18.9,0.0,0.0014023469345257414
19.0,0.0,0.0013609810846107247
19.1,0.0,0.001329603373668541
19.2,0.0,0.001307327665705122
19.3,0.0,0.0012931018641616646
19.4,0.0,0.0012858184198110303
19.5,0.0,0.0012843954788997081
19.6,0.0,0.0012878343810341438
19.7,0.0,0.0012952605371052042
19.8,0.0,0.0013059534013512971
19.9,0.015387375237685987,0.0013193684907226169
20.0,0.0,0.0013351514721287234
20.1,0.0,0.0013531422487835568
20.2,0.0,0.0013733662844107473
20.3,0.0,0.0013960111557892426
20.4,0.0,0.0014213881514488194
20.5,0.0,0.0014498810291429202
20.6,0.0,0.0014818861603835235
20.7,0.0,0.001517749713136036
20.8,0.0,0.0015577079787771543
20.9,0.0,0.0016018364273250316
21.0,0.0,0.0016500117888172074
21.1,0.01570440150639668,0.0017018897541499745
21.2,0.0,0.001756899138107164
21.3,0.0,0.001814251856854641
21.4,0.0,0.0018729670219091888
21.5,0.0,0.0019319068785959975
21.6,0.0,0.001989822132758272
21.7,0.0,0.0020454042545333634
21.8,0.0,0.0020973424475268843
21.9,0.0,0.002144382990206012
22.0,0.0,0.0021853885328785537
22.1,0.0,0.0022193946922112345
22.2,0.0,0.0022456610206798944
22.3,0.03417490900903216,0.002263713274107933
22.4,0.0,0.002273373988316736
22.5,0.0,0.0022747787981053104
22.6,0.0,0.0022683767145174174
22.7,0.0,0.002254913670173714
22.8,0.0,0.002235399930230557
22.9,0.0,0.002211063286217075
23.0,0.0,0.0021832911259522486
23.1,0.0,0.002153565348487331
23.2,0.0,0.0021233945586179625
23.3,0.0,0.0020942479844994867
23.4,0.017516068170231054,0.0020674951354691376
23.5,0.0,0.0020443544360489226
23.6,0.0,0.002025853058876667
23.7,0.0,0.0020127990755956587
23.8,0.0,0.002005765987732649
23.9,0.0,0.0020050888023630015
24.0,0.0,0.002010870155604074
24.1,0.0,0.0020229945936829376
24.2,0.0,0.002041148988914205
24.3,0.0,0.002064847156305166
24.4,0.0,0.002093456984672586
24.5,0.0,0.0021262287347986
24.6,0.02109733933471909,0.0021623235200524662
24.7,0.0,0.0022008413175409244
24.8,0.0,0.002240848122472185
24.9,0.0,0.0022814020355748374
25.0,0.0,0.002321578160535958
25.1,0.0,0.002360492196405729
25.2,0.0,0.0023973225587003
25.3,0.0,0.0024313307770027774
25.4,0.0,0.002461879821289007
25.5,0.0,0.0024884499266186323
25.6,0.0,0.002510651434381741
25.7,0.0,0.002528234160526188
25.8,0.03990190254797486,0.0025410928436598876
25.9,0.0,0.0025492683193023453
26.0,0.0,0.0025529442061403562
26.1,0.0,0.00255243906658149
26.2,0.0,0.0025481942041956475
26.3,0.0,0.0025407574693100165
26.4,0.0,0.0025307636444737132
26.5,0.0,0.002518912157484918
26.6,0.0,0.0025059430067688286
26.7,0.0,0.0024926118709146625
26.8,0.0,0.0024796654042276486
26.9,0.0,0.002467817691293177
27.0,0.021554986975148394,0.002457728748953319
27.1,0.0,0.0024499858316186446
27.2,0.0,0.0024450881271050203
27.3,0.0,0.002443435239272709
27.4,0.0,0.0024453196556487003
27.5,0.0,0.0024509232072921047
27.6,0.0,0.0024603173567599762
27.7,0.0,0.002473467007429522
27.8,0.0,0.002490237419249468
27.9,0.0,0.002510403744054403
28.0,0.0,0.0025336626562393947
28.1,0.022260710063626957,0.0025596455474338198
28.2,0.0,0.002587932770548942
28.3,0.0,0.0026180684520733613
28.4,0.0,0.002649575434747912
28.5,0.0,0.0026819699596903382
28.6,0.0,0.0027147757430775964
28.7,0.0,0.002747537144825883
28.8,0.0,0.0027798311643156327
28.9,0.0,0.002811278031625737
29.0,0.0,0.002841550193649826
29.1,0.0,0.0028703795251937524
29.2,0.0,0.002897562628142263
29.3,0.04545064755203798,0.0029229641191235874
29.4,0.0,0.002946517849153513
29.5,0.0,0.0029682260479006
29.6,0.0,0.002988156439821245
29.7,0.0,0.0030064374378066497
29.8,0.0,0.0030232515796735884
29.9,0.0,0.0030388274307610466
30.0,0.0,0.0030534302287533194
30.1,0.0,0.0030673515913944576
30.2,0.0,0.0030808986411179546
30.3,0.0,0.0030943829205435356
30.4,0.0,0.003108109477852304
30.5,0.028542359899210938,0.003122366490717856
30.6,0.0,0.003137415772153289
30.7,0.0,0.003153484462620743
30.8,0.0,0.0031707581620879343
30.9,0.0,0.0031893756960415017
31.0,0.0,0.003209425643805466
31.1,0.0,0.0032309446890675135
31.2,0.0,0.003253917784459745
